sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
Portland,1392.1555,72.29744,76.117172,-3.8197353,-0.61641163,8.1500216,148.89412
Boston University,1391.808,72.304039,76.136559,-3.8325198,-5.9353156,30.268988,148.89412
La Salle,1391.613,70.524139,74.297226,-3.7730844,2.5735979,39.83313,148.89412
Stony Brook,1389.6069,70.990158,74.852188,-3.8620286,-3.0410008,55.637707,148.89412
East Carolina,1386.7161,73.653786,77.722588,-4.0688019,-0.80719984,25.646441,148.89412
Weber St.,1385.4369,75.603539,79.79528,-4.1917386,-4.3539376,99.523895,148.89412
Wofford,1382.9985,75.105675,79.368599,-4.2629309,-5.4276586,68.256485,148.89412
Radford,1382.9757,76.27256,80.582695,-4.3101387,-5.9476404,53.202023,148.89412
Longwood,1379.7513,74.022865,78.362129,-4.3392687,-7.267364,60.083199,148.89412
South Dakota St.,1376.1689,70.873329,75.210548,-4.3372135,-5.2113314,74.117859,148.89412
Coastal Carolina,1375.0155,70.306549,74.660507,-4.3539591,-4.2623053,69.370537,148.89412
Princeton,1372.9326,66.948875,71.22805,-4.279181,-0.64400154,78.997467,148.89412
Ohio,1371.1705,75.251335,79.961067,-4.7097325,-2.1791759,97.604347,148.89412
Iona,1370.8114,71.70845,76.27478,-4.5663242,-4.46977,54.721012,148.89412
Dartmouth,1367.6947,73.598328,78.363297,-4.7649617,-2.7004921,33.82399,148.89412
Elon,1367.4028,72.757217,77.494659,-4.7374449,-2.2039101,42.512825,148.89412
SIU Edwardsville,1366.3146,65.455353,69.892181,-4.436832,-9.2103901,48.519398,148.89412
Mount St. Mary's (MD),1365.908,67.368446,71.909554,-4.5411034,-4.8828321,45.89407,148.89412
Florida Gulf Coast,1365.8187,70.311989,74.994041,-4.6820483,-4.7304239,53.411041,148.89412
Brown,1364.8513,68.165741,72.78125,-4.6155148,-3.2157493,24.760714,148.89412
UT Martin,1363.5437,63.681297,68.126228,-4.4449306,-8.118865,55.315483,148.89412
Charleston Southern,1362.2247,77.512589,82.662796,-5.1502028,-6.8581553,67.887093,148.89412
Old Dominion,1361.3347,74.349724,79.38485,-5.035131,-3.3972604,71.908371,148.89412
San Diego,1360.3187,73.640633,78.679634,-5.0389962,-0.45880166,24.453524,148.89412
Purdue Fort Wayne,1359.9811,71.689285,76.646759,-4.9574666,-4.5339265,68.829903,148.89412
Nicholls St.,1359.1366,71.208931,76.173637,-4.9647055,-2.7643819,63.161316,148.89412
